Date,Voltage,Current,Power,Energy,Frequency,Power Factor,Reactive Power,Apparent Power
2024-04-14 16:07:10,119.80,0.04,3.10,0.02,59.90,0.74,2.82,4.19
2024-04-14 16:07:20,119.80,0.04,3.10,0.02,60.00,0.74,2.82,4.19
2024-04-14 16:07:31,119.90,0.04,3.10,0.02,60.00,0.74,2.82,4.20
2024-04-14 16:07:41,119.90,0.04,3.10,0.02,60.00,0.74,2.82,4.20
2024-04-14 16:07:51,120.00,0.04,3.10,0.02,60.00,0.74,2.82,4.20
2024-04-14 16:08:01,119.40,0.04,3.00,0.02,59.90,0.72,2.90,4.18
2024-04-14 16:08:11,119.40,0.04,3.10,0.02,60.00,0.74,2.81,4.18
2024-04-14 16:08:21,119.40,0.04,3.10,0.02,60.00,0.74,2.81,4.18
2024-04-14 16:08:31,119.40,0.04,3.10,0.02,60.00,0.74,2.81,4.18
2024-04-14 16:08:41,119.40,0.04,3.10,0.02,59.90,0.74,2.81,4.18
2024-04-14 16:08:51,119.40,0.04,3.10,0.02,59.90,0.74,2.81,4.18
2024-04-14 16:09:01,119.40,0.04,3.10,0.02,60.00,0.74,2.81,4.18
2024-04-14 16:09:11,119.20,0.04,3.10,0.02,60.00,0.74,2.81,4.17
2024-04-14 16:09:21,119.40,0.04,3.10,0.02,60.00,0.74,2.81,4.18
2024-04-14 16:09:32,119.40,0.04,3.10,0.02,60.00,0.74,2.81,4.18
2024-04-14 16:09:42,119.30,0.04,3.10,0.02,59.90,0.74,2.81,4.18
2024-04-14 16:09:52,119.20,0.04,3.00,0.02,59.90,0.72,2.90,4.17
2024-04-14 16:10:02,119.40,0.04,3.10,0.02,59.90,0.74,2.81,4.18
2024-04-14 16:10:12,119.50,0.04,3.00,0.02,60.00,0.72,2.90,4.18
2024-04-14 16:10:22,119.30,0.04,3.00,0.02,60.00,0.72,2.90,4.18
2024-04-14 16:10:32,119.30,0.04,3.00,0.02,60.00,0.72,2.90,4.18
2024-04-14 16:10:42,119.70,0.04,3.10,0.02,60.00,0.74,2.82,4.19
2024-04-14 16:10:52,119.60,0.04,3.00,0.02,60.00,0.72,2.90,4.19
2024-04-14 16:11:02,119.50,0.04,3.10,0.02,60.00,0.74,2.81,4.18
2024-04-14 16:11:12,119.50,0.04,3.00,0.02,60.00,0.72,2.90,4.18
2024-04-14 16:11:22,119.60,0.04,3.10,0.02,60.00,0.74,2.82,4.19
2024-04-14 16:11:32,119.60,0.04,3.10,0.02,59.90,0.74,2.82,4.19
2024-04-14 16:11:42,119.70,0.04,3.10,0.02,60.00,0.74,2.82,4.19
2024-04-14 16:11:52,119.50,0.04,3.10,0.02,60.00,0.74,2.81,4.18
2024-04-14 16:12:02,119.30,0.04,3.10,0.02,59.90,0.74,2.81,4.18
2024-04-14 16:12:12,119.50,0.04,3.00,0.02,59.90,0.72,2.90,4.18
2024-04-14 16:12:22,120.00,0.04,3.10,0.02,60.00,0.74,2.82,4.20
2024-04-14 16:12:33,119.60,0.04,3.10,0.02,60.00,0.74,2.82,4.19
2024-04-14 16:12:43,119.40,0.04,3.00,0.02,59.90,0.72,2.90,4.18
2024-04-14 16:12:53,119.50,0.04,3.10,0.02,59.90,0.74,2.81,4.18
2024-04-14 16:13:03,119.50,0.04,3.00,0.02,59.90,0.72,2.90,4.18
2024-04-14 16:13:13,119.30,0.04,3.00,0.02,59.90,0.72,2.90,4.18
2024-04-14 16:13:23,119.70,0.04,3.10,0.02,60.00,0.74,2.82,4.19
2024-04-14 16:13:33,119.50,0.04,3.00,0.02,60.00,0.72,2.90,4.18
2024-04-14 16:13:43,119.50,0.04,3.00,0.02,59.90,0.72,2.90,4.18
2024-04-14 16:13:53,119.60,0.04,3.10,0.02,60.00,0.74,2.82,4.19
2024-04-14 16:14:03,119.70,0.04,3.00,0.02,59.90,0.72,2.91,4.19
2024-04-14 16:14:13,119.50,0.04,3.10,0.02,59.90,0.74,2.81,4.18
2024-04-14 16:14:23,119.50,0.04,3.10,0.02,59.90,0.74,2.81,4.18
2024-04-14 16:14:34,119.60,0.04,3.10,0.02,60.00,0.74,2.82,4.19
2024-04-14 16:14:44,119.70,0.04,3.10,0.02,60.00,0.74,2.82,4.19
2024-04-14 16:14:54,119.60,0.04,3.10,0.02,60.00,0.74,2.82,4.19
2024-04-14 16:15:04,119.60,0.04,3.10,0.02,59.90,0.74,2.82,4.19
2024-04-14 16:15:14,119.40,0.04,3.00,0.02,60.00,0.72,2.90,4.18
2024-04-14 16:15:24,119.30,0.04,3.10,0.02,60.00,0.74,2.81,4.18
2024-04-14 16:15:34,119.30,0.04,3.00,0.02,60.00,0.72,2.90,4.18
2024-04-14 16:15:44,119.30,0.04,3.00,0.02,60.00,0.72,2.90,4.18
2024-04-14 16:15:54,119.20,0.04,3.00,0.02,59.90,0.72,2.90,4.17
2024-04-14 16:16:04,119.30,0.04,3.00,0.02,59.90,0.72,2.90,4.18
2024-04-14 16:16:14,119.60,0.04,3.10,0.02,59.90,0.74,2.82,4.19
2024-04-14 16:16:24,119.50,0.04,3.10,0.02,60.00,0.74,2.81,4.18
2024-04-14 16:16:35,119.50,0.04,3.10,0.02,59.90,0.74,2.81,4.18
2024-04-14 16:16:45,119.60,0.04,3.10,0.02,59.90,0.74,2.82,4.19
2024-04-14 16:16:55,119.30,0.04,3.10,0.02,60.00,0.74,2.81,4.18
2024-04-14 16:17:05,119.30,0.04,3.00,0.02,59.90,0.72,2.90,4.18
2024-04-14 16:17:15,119.20,0.04,3.00,0.02,60.00,0.72,2.90,4.17
2024-04-14 16:17:25,119.30,0.04,3.10,0.02,59.90,0.74,2.81,4.18
2024-04-14 16:17:35,119.20,0.04,3.00,0.02,60.00,0.72,2.90,4.17
2024-04-14 16:17:45,119.40,0.04,3.10,0.02,59.90,0.74,2.81,4.18
2024-04-14 16:17:55,119.30,0.04,3.10,0.02,60.00,0.74,2.81,4.18
2024-04-14 16:18:05,119.30,0.04,3.00,0.02,59.90,0.72,2.90,4.18
2024-04-14 16:18:15,119.30,0.04,3.00,0.02,60.00,0.72,2.90,4.18
2024-04-14 16:18:25,119.30,0.04,3.10,0.02,60.00,0.74,2.81,4.18
2024-04-14 16:18:36,119.10,0.04,3.00,0.02,59.90,0.72,2.89,4.17
2024-04-14 16:18:46,119.30,0.04,3.00,0.02,59.90,0.72,2.90,4.18
2024-04-14 16:18:56,119.30,0.04,3.00,0.02,60.00,0.72,2.90,4.18
2024-04-14 16:19:06,119.30,0.04,3.10,0.02,60.00,0.74,2.81,4.18
2024-04-14 16:19:16,119.40,0.04,3.00,0.02,60.00,0.72,2.90,4.18
2024-04-14 16:19:26,119.40,0.04,3.10,0.02,60.00,0.74,2.81,4.18
2024-04-14 16:19:36,119.50,0.04,3.10,0.02,60.00,0.74,2.81,4.18
2024-04-14 16:19:46,119.40,0.04,3.00,0.02,60.00,0.72,2.90,4.18
2024-04-14 16:19:56,119.30,0.04,3.10,0.02,59.90,0.74,2.81,4.18
2024-04-14 16:20:06,119.90,0.04,3.10,0.02,60.00,0.74,2.82,4.20
2024-04-14 16:20:16,120.00,0.04,3.10,0.02,60.00,0.74,2.82,4.20
2024-04-14 16:20:26,119.50,0.04,3.10,0.02,60.00,0.74,2.81,4.18
2024-04-14 16:20:37,119.60,0.04,3.10,0.02,59.90,0.74,2.82,4.19
2024-04-14 16:20:47,120.10,0.04,3.10,0.02,60.00,0.74,2.83,4.20
2024-04-14 16:20:57,120.00,0.04,3.10,0.02,60.00,0.74,2.82,4.20
2024-04-14 16:21:07,119.80,0.04,3.10,0.02,60.00,0.74,2.82,4.19
2024-04-14 16:21:17,119.80,0.04,3.10,0.02,60.00,0.74,2.82,4.19
2024-04-14 16:21:27,119.70,0.04,3.10,0.02,59.90,0.74,2.82,4.19
2024-04-14 16:21:37,119.80,0.04,3.10,0.02,60.00,0.74,2.82,4.19
2024-04-14 16:21:47,119.60,0.04,3.10,0.02,60.00,0.74,2.82,4.19
2024-04-14 16:21:57,119.60,0.04,3.00,0.02,60.00,0.72,2.90,4.19
2024-04-14 16:22:07,119.70,0.04,3.10,0.02,60.00,0.74,2.82,4.19
